regiao;estado;coduf;data;semanaEpidemiologica;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos
Nordeste;PI;22;2022-03-12;10;3273227;366532;118;7698;1
Nordeste;PI;22;2022-03-13;11;3273227;366533;1;7699;1
Nordeste;PI;22;2022-03-14;11;3273227;366549;16;7701;2
Nordeste;PI;22;2022-03-15;11;3273227;366655;106;7705;4
Nordeste;PI;22;2022-03-16;11;3273227;366815;160;7708;3
Nordeste;PI;22;2022-03-17;11;3273227;366970;155;7712;4
Nordeste;PI;22;2022-03-18;11;3273227;367036;66;7714;2
Nordeste;PI;22;2022-03-19;11;3273227;367193;157;7714;0
Nordeste;PI;22;2022-03-20;12;3273227;367206;13;7714;0
Nordeste;PI;22;2022-03-21;12;3273227;367207;1;7716;2
Nordeste;PI;22;2022-03-22;12;3273227;367257;50;7716;0
Nordeste;PI;22;2022-03-23;12;3273227;367308;51;7718;2
Nordeste;PI;22;2022-03-24;12;3273227;367441;133;7718;0
Nordeste;PI;22;2022-03-25;12;3273227;367490;49;7719;1
Nordeste;PI;22;2022-03-26;12;3273227;367511;21;7720;1
Nordeste;PI;22;2022-03-27;13;3273227;367515;4;7721;1
Nordeste;PI;22;2022-03-28;13;3273227;367515;0;7721;0
Nordeste;PI;22;2022-03-29;13;3273227;367585;70;7726;5
Nordeste;PI;22;2022-03-30;13;3273227;367647;62;7726;0
Nordeste;PI;22;2022-03-31;13;3273227;367670;23;7728;2
Nordeste;PI;22;2022-04-01;13;3273227;367701;31;7728;0
Nordeste;PI;22;2022-04-02;13;3273227;367702;1;7729;1
Nordeste;PI;22;2022-04-03;14;3273227;367702;0;7729;0
Nordeste;PI;22;2022-04-04;14;3273227;367702;0;7729;0
Nordeste;PI;22;2022-04-05;14;3273227;367747;45;7729;0
Nordeste;PI;22;2022-04-06;14;3273227;367747;0;7730;1
Nordeste;PI;22;2022-04-07;14;3273227;367816;69;7731;1
Nordeste;PI;22;2022-04-08;14;3273227;367852;36;7732;1
Nordeste;PI;22;2022-04-09;14;3273227;367887;35;7732;0
Nordeste;PI;22;2022-04-10;15;3273227;367889;2;7732;0
Nordeste;PI;22;2022-04-11;15;3273227;367889;0;7733;1
Nordeste;PI;22;2022-04-12;15;3273227;367916;27;7733;0
Nordeste;PI;22;2022-04-13;15;3273227;367916;0;7733;0
Nordeste;PI;22;2022-04-14;15;3273227;367963;47;7735;2
Nordeste;PI;22;2022-04-15;15;3273227;367981;18;7735;0
Nordeste;PI;22;2022-04-16;15;3273227;367983;2;7735;0
